Item Name,Qty,Price (total) (USD),Item link,Notes
C18189021,5,$0.97 ,https://www.lcsc.com/product-detail/C18189021.html,Hall effect sensor
C7463387,3,$1.46 ,https://www.lcsc.com/product-detail/C7463387.html,Op amp + 2 extras in case I break one
C695629,50,3.78,https://www.lcsc.com/product-detail/C695629.html,Screw terminal + extras for future projects
C5248080,1,2.3,https://www.lcsc.com/product-detail/C5248080.html?,OLED
C49451350,10,0.42,https://www.lcsc.com/product-detail/C49451350.html,100nF caps
C2874602,50,0.58,https://www.lcsc.com/product-detail/C2874602.html,NPN transistor
C7528752,10,0.26,https://www.lcsc.com/product-detail/C7528752.html,Tactile button
C2933707,100,0.63,https://www.lcsc.com/product-detail/C2933707.html,470 ohm resistor
C2930433,100,0.59,https://www.lcsc.com/product-detail/C2930433.html,910 ohm resistor
,,,,
XIAO nRF52840,1,9.99,https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html,
Seeed studio shipping,,7.26,,
1Ah lipo battery,1,6.49,https://www.amazon.com/AKZYTUE-1000mAh-Battery-Rechargeable-Protection/dp/B0FRFYJ32K,
Ferrite core (pack of 5),1,8.09,https://www.amazon.com/gp/product/B07YJXRN6V/ref=ewc_pr_img_2,
M2 screw kit,1,8.3,https://www.amazon.com/Fgruh-1200PCS-Assortment-Washers-Assorted/dp/B0FGV5K8BT?th=1,Best way I could find to get screws
,,,,
PCB - OSHPARK ,1,17.35,https://oshpark.com/orders/Ga3FUU7X,Cheaper than JLCPCB when including shipping
,,,,
,,,,
Total Price (USD):,,$68.47 ,,
